epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,290.005,0.97025,0.90083,1.15447,0.97353,0.77068,0.86367,0.67197,1.01902,1.12427,1.16205,0.003763,0.003763,0.003763
65,294.812,1.05787,0.97233,1.28457,0.97353,0.77068,0.86367,0.67197,1.01902,1.12427,1.16205,0.003664,0.003664,0.003664
66,298.814,0.98246,0.83117,1.16592,0.97112,0.7465,0.84727,0.68861,0.97414,1.09653,1.15021,0.003565,0.003565,0.003565
67,303.223,0.94442,0.80425,1.07855,0.97112,0.7465,0.84727,0.68861,0.97414,1.09653,1.15021,0.003466,0.003466,0.003466
68,307.391,0.95486,0.84001,1.09829,0.95978,0.76156,0.85062,0.68035,1.02489,1.02558,1.16197,0.003367,0.003367,0.003367
69,311.963,0.95398,0.91135,1.14894,0.95978,0.76156,0.85062,0.68035,1.02489,1.02558,1.16197,0.003268,0.003268,0.003268
70,316.45,0.93587,1.20598,1.20444,0.96004,0.69925,0.85343,0.6876,0.97517,1.04129,1.14901,0.003169,0.003169,0.003169
71,320.449,0.84611,0.72587,1.07193,0.96004,0.69925,0.85343,0.6876,0.97517,1.04129,1.14901,0.00307,0.00307,0.00307
72,324.85,0.90043,0.83328,1.15854,0.97845,0.7478,0.85405,0.68374,1.01348,1.07214,1.15074,0.002971,0.002971,0.002971
73,329.125,0.99699,0.81906,1.23188,0.97845,0.7478,0.85405,0.68374,1.01348,1.07214,1.15074,0.002872,0.002872,0.002872
74,333.548,1.16098,1.32949,1.28174,0.97914,0.7412,0.85294,0.67624,0.99397,1.12576,1.1468,0.002773,0.002773,0.002773
75,337.875,1.05482,0.91699,1.15483,0.97914,0.7412,0.85294,0.67624,0.99397,1.12576,1.1468,0.002674,0.002674,0.002674
76,342.126,0.93179,0.82689,1.09808,0.96653,0.77068,0.86209,0.6735,0.99854,1.08491,1.15382,0.002575,0.002575,0.002575
77,346.282,0.95393,0.82505,1.13169,0.96653,0.77068,0.86209,0.6735,0.99854,1.08491,1.15382,0.002476,0.002476,0.002476
78,350.234,0.92429,0.8012,1.0579,0.96586,0.77068,0.88716,0.69532,0.97235,0.98279,1.12872,0.002377,0.002377,0.002377
79,354.316,0.87858,0.82488,1.07818,0.96586,0.77068,0.88716,0.69532,0.97235,0.98279,1.12872,0.002278,0.002278,0.002278
80,358.485,0.93485,0.82144,1.07893,0.96448,0.75598,0.9025,0.70921,0.98286,0.96819,1.13606,0.002179,0.002179,0.002179
81,362.348,0.92271,0.91808,1.17909,0.96448,0.75598,0.9025,0.70921,0.98286,0.96819,1.13606,0.00208,0.00208,0.00208
82,366.822,0.98422,0.85201,1.09411,1,0.77856,0.92751,0.72944,0.93036,0.96988,1.12473,0.001981,0.001981,0.001981
83,370.947,0.84001,0.69703,1.06102,1,0.77856,0.92751,0.72944,0.93036,0.96988,1.12473,0.001882,0.001882,0.001882
84,375.101,0.88827,0.76734,1.08851,0.93107,0.80175,0.92321,0.70023,0.97391,0.93085,1.12645,0.001783,0.001783,0.001783
85,379.082,1.02502,1.00136,1.18133,0.93107,0.80175,0.92321,0.70023,0.97391,0.93085,1.12645,0.001684,0.001684,0.001684
86,383.215,0.84305,0.70208,1.06895,0.90634,0.80069,0.92554,0.70415,0.94782,0.91672,1.12122,0.001585,0.001585,0.001585
87,387.627,1.45685,1.59622,1.6142,0.90634,0.80069,0.92554,0.70415,0.94782,0.91672,1.12122,0.001486,0.001486,0.001486
88,391.557,0.93415,0.7913,1.09065,0.86766,0.80487,0.91938,0.70511,0.94539,0.91947,1.11877,0.001387,0.001387,0.001387
89,395.688,1.01291,0.98567,1.25098,0.86766,0.80487,0.91938,0.70511,0.94539,0.91947,1.11877,0.001288,0.001288,0.001288
90,399.63,0.74267,0.8006,1.068,0.82371,0.82014,0.92386,0.71141,0.98487,0.90509,1.12461,0.001189,0.001189,0.001189
91,403.454,0.80285,0.89857,1.0615,0.82371,0.82014,0.92386,0.71141,0.98487,0.90509,1.12461,0.00109,0.00109,0.00109
92,407.834,0.73091,0.6802,1.00016,0.85012,0.82454,0.921,0.70141,1.02913,0.9075,1.14055,0.000991,0.000991,0.000991
93,411.718,0.81152,0.71705,0.99083,0.85012,0.82454,0.921,0.70141,1.02913,0.9075,1.14055,0.000892,0.000892,0.000892
94,415.627,0.92423,0.84332,1.10759,0.92117,0.81066,0.93025,0.70321,1.01477,0.89305,1.13429,0.000793,0.000793,0.000793
95,419.663,0.72326,0.72645,1.04446,0.92117,0.81066,0.93025,0.70321,1.01477,0.89305,1.13429,0.000694,0.000694,0.000694
96,423.568,0.70188,0.6652,0.99384,0.92413,0.85342,0.93525,0.70296,1.01954,0.88842,1.13476,0.000595,0.000595,0.000595
97,427.565,0.84216,0.80877,1.12973,0.92413,0.85342,0.93525,0.70296,1.01954,0.88842,1.13476,0.000496,0.000496,0.000496
98,431.733,0.78217,0.77965,1.05694,0.94138,0.84171,0.93726,0.70386,1.02502,0.88019,1.13496,0.000397,0.000397,0.000397
99,435.579,0.82242,0.77006,1.06051,0.94138,0.84171,0.93726,0.70386,1.02502,0.88019,1.13496,0.000298,0.000298,0.000298
100,439.661,0.73602,0.6666,0.99035,0.94323,0.8535,0.94094,0.7145,1.0135,0.86316,1.12688,0.000199,0.000199,0.000199
